City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Time
182,Muisne,0.6,-80.0333,24.52,93,99,2.84,EC,2024-01-03,09:05:30
183,Surabaya,-7.2492,112.7508,28.34,60,40,1.54,ID,2024-01-03,09:01:58
184,Tazovsky,67.4667,78.7,-31.95,98,100,2.82,RU,2024-01-03,09:05:31
185,Bandarbeyla,9.4942,50.8122,26.65,56,97,8.78,SO,2024-01-03,09:05:32
186,Esfarayen,37.0765,57.5101,8.73,40,96,2.86,IR,2024-01-03,09:05:32
187,Villanueva Del Pardillo,40.4833,-3.9667,11.01,98,100,2.04,ES,2024-01-03,08:59:46
188,Invercargill,-46.4,168.35,14.45,81,81,4.02,NZ,2024-01-03,09:00:33
189,Pingzhuang,42.0372,119.2889,-10.52,88,1,2.29,CN,2024-01-03,09:05:33
190,Abepura,-2.6333,140.5833,27.45,83,20,1.03,ID,2024-01-03,09:05:33
191,Freeport,40.6576,-73.5832,2.43,74,0,4.63,US,2024-01-03,09:05:34
192,Altai,46.3722,96.2583,-14.43,76,14,1.16,MN,2024-01-03,09:05:34
193,Mount Isa,-20.7333,139.5,39.87,22,75,2.57,AU,2024-01-03,09:05:35
194,Flin Flon,54.7682,-101.865,-18.65,96,92,1.15,CA,2024-01-03,09:03:08
195,Qarazhal,48.0078,70.7903,-6.36,88,10,3.07,KZ,2024-01-03,09:05:35
196,Arraial Do Cabo,-22.9661,-42.0278,23.92,94,75,2.57,BR,2024-01-03,09:02:44
197,San Patricio,28.017,-97.5169,13.92,89,100,4.76,US,2024-01-03,09:05:36
198,Morehead City,34.7229,-76.726,5.55,81,0,1.54,US,2024-01-03,09:05:36
199,Prince Rupert,54.3161,-130.3201,5.05,93,100,4.12,CA,2024-01-03,09:05:37
200,Udachny,66.4167,112.4,-44.34,100,93,0.26,RU,2024-01-03,09:04:35
201,Yellowknife,62.456,-114.3525,-24.21,86,74,3.58,CA,2024-01-03,09:00:41
202,Tabou,4.423,-7.3528,28.45,73,10,2.73,CI,2024-01-03,09:05:37
203,Jindabyne,-36.4167,148.6333,16.43,93,100,1.34,AU,2024-01-03,09:03:38
204,Ribeira Grande,38.5167,-28.7,16.22,63,40,6.69,PT,2024-01-03,09:05:38
205,Port Elizabeth,-33.918,25.5701,23.39,85,75,3.09,ZA,2024-01-03,09:05:16
206,Vire,48.9167,-0.8333,10.66,85,91,8.27,FR,2024-01-03,09:05:38
207,Uturoa,-16.7333,-151.4333,27.08,79,92,9.85,PF,2024-01-03,09:05:39
208,Rio Grande,-32.035,-52.0986,21.08,85,99,7.91,BR,2024-01-03,09:05:39
209,South Grafton,-29.7,152.95,25.82,87,3,1.82,AU,2024-01-03,09:04:32
210,Sao Borja,-28.6606,-56.0044,19.97,89,1,1.01,BR,2024-01-03,09:05:40
211,Sheksna,59.21,38.5107,-29.02,97,18,2.48,RU,2024-01-03,09:01:34
212,Kalamnuri,19.6667,77.3333,28.96,29,0,2.17,IN,2024-01-03,09:05:40
213,Torghay,49.6339,63.4981,-1.7,89,65,5.52,KZ,2024-01-03,09:05:41
214,Fort St. John,56.2499,-120.8529,-7.92,95,100,1.28,CA,2024-01-03,09:05:41
215,Fisterra,42.9049,-9.2629,13.19,82,88,6.87,ES,2024-01-03,09:05:41
216,Vorgashor,67.5833,63.95,-21.19,98,100,8.7,RU,2024-01-03,09:05:42
217,Weno,7.4515,151.8468,25.97,94,100,2.06,FM,2024-01-03,09:05:20
218,Ilula,-7.6766,36.0366,21.96,81,100,0.89,TZ,2024-01-03,09:05:42
219,Port Mathurin,-19.6833,63.4167,28.22,73,89,3.1,MU,2024-01-03,09:05:43
220,Sitangkai,4.6628,119.3928,28.35,78,51,4.71,PH,2024-01-03,09:05:43
221,Drama,41.1544,24.1394,12.59,70,100,1.27,GR,2024-01-03,09:05:44
222,Selkirk,50.1436,-96.8845,-12.57,90,32,3.56,CA,2024-01-03,09:05:44
223,Agat Village,13.3886,144.6585,28.06,86,0,3.6,GU,2024-01-03,09:05:44
224,Kayangel,8.0823,134.7173,28.89,74,10,3.86,PW,2024-01-03,09:05:44
225,Lakatoro,-16.0999,167.4164,27.89,82,100,2.87,VU,2024-01-03,09:05:45
226,Ginebra,46.2022,6.1457,12.5,67,75,5.66,CH,2024-01-03,09:03:05
227,Afaahiti,-17.75,-149.2833,25.93,84,99,9.5,PF,2024-01-03,09:05:45
228,Estevan,49.1334,-102.9842,-8.81,96,8,1.66,CA,2024-01-03,09:05:45
229,Mexia,31.6799,-96.4822,6.06,95,100,3.09,US,2024-01-03,09:05:46
230,Bodo,67.28,14.405,-8.98,48,0,10.29,NO,2024-01-03,09:05:47
231,Bol'Sherech'Ye,56.0925,74.6272,-25.62,93,6,2.89,RU,2024-01-03,09:05:47
232,Osakarovka,50.565,72.5692,-11.12,90,97,4.56,KZ,2024-01-03,09:05:47
233,Sur,22.5667,59.5289,26.38,47,0,2.55,OM,2024-01-03,09:05:48
234,Flying Fish Cove,-10.4217,105.6791,27.82,78,75,3.6,CX,2024-01-03,09:05:49
235,Princeville,45.7668,-61.2985,-1.43,91,70,1.65,CA,2024-01-03,09:05:49
236,Pontian Kechil,1.4866,103.3896,30.56,86,100,3.13,MY,2024-01-03,09:05:49
